iter	MultiClass
0	2.741117181
1	2.666463599
2	2.590631227
3	2.522498878
4	2.447221232
5	2.387432793
6	2.340146408
7	2.297563188
8	2.259854289
9	2.214601371
10	2.166712323
11	2.131096407
12	2.091409819
13	2.057224269
14	2.022719532
15	1.986233602
16	1.954082319
17	1.920179836
18	1.888341166
19	1.863248097
20	1.832723573
21	1.806080453
22	1.778606676
23	1.751727233
24	1.728687048
25	1.705395901
26	1.682033654
27	1.659812571
28	1.638714396
29	1.619454833
30	1.602154493
31	1.586758291
32	1.564825707
33	1.548331509
34	1.532959463
35	1.517483107
36	1.499378723
37	1.484180056
38	1.473077247
39	1.455717655
40	1.444044204
41	1.431445947
42	1.416713578
43	1.401097584
44	1.38817569
45	1.369292473
46	1.355413691
47	1.346141112
48	1.335485147
49	1.327035055
50	1.313337891
51	1.300008018
52	1.290857152
53	1.27619823
54	1.264921171
55	1.255110338
56	1.242363393
57	1.229939231
58	1.220173542
59	1.209831701
60	1.201106936
61	1.188651678
62	1.18040883
63	1.168832731
64	1.157897448
65	1.147220615
66	1.135278006
67	1.124478543
68	1.114617526
69	1.104665833
70	1.095531237
71	1.084987
72	1.075444633
73	1.06683352
74	1.058626575
75	1.050660328
76	1.041664219
77	1.034430793
78	1.025976469
79	1.01846587
80	1.01157646
81	1.00471288
82	1.000346921
83	0.9935888096
84	0.9850974265
85	0.9768023417
86	0.9689139004
87	0.9595385793
88	0.9521320181
89	0.9445649403
90	0.9388615803
91	0.9327389431
92	0.9247794344
93	0.9193923617
94	0.9109834751
95	0.9038711092
96	0.8989057633
97	0.8957522357
98	0.8882252322
99	0.8801501352
100	0.8738695523
101	0.866813477
102	0.8600758479
103	0.8516855878
104	0.8439666594
105	0.8379546038
106	0.8327777049
107	0.8285365231
108	0.8207585436
109	0.8147624516
110	0.8087407786
111	0.8051452752
112	0.7988253035
113	0.7925302275
114	0.787293481
115	0.7825317401
116	0.7752489135
117	0.770515804
118	0.7655126113
119	0.7616097109
120	0.7576631418
121	0.7565115242
122	0.7530607999
123	0.7500965688
124	0.7445720362
125	0.7428835525
126	0.7417479442
127	0.7363576638
128	0.7317989389
129	0.7265683659
130	0.7242465535
131	0.7207866498
132	0.7183292681
133	0.7154716244
134	0.7114698396
135	0.7070484219
136	0.7060393257
137	0.703301758
138	0.6997019901
139	0.6958139787
140	0.6929287365
141	0.6908024696
142	0.6891827877
143	0.6842227599
144	0.6812983106
145	0.6800997853
146	0.679281819
147	0.6758723873
148	0.6739020007
149	0.670253166
150	0.6684677183
151	0.6672803272
152	0.6640760026
153	0.6620220871
154	0.6583409092
155	0.6541119897
156	0.6516321233
157	0.6491501383
158	0.6472093995
159	0.6428298562
160	0.6397749355
161	0.6368296977
162	0.6351959769
163	0.6332203948
164	0.6323758644
165	0.6301916083
166	0.6281766086
167	0.6255357432
168	0.6223931742
169	0.6221837055
170	0.6194018232
171	0.6178971697
172	0.6152812606
173	0.6138223539
174	0.612092233
175	0.6086953917
176	0.6065610954
177	0.6036828472
178	0.6003756291
179	0.5991956771
180	0.597205445
181	0.5965214415
182	0.5949178283
183	0.5934162417
184	0.592112576
185	0.5885652532
186	0.5863878229
187	0.5841849828
188	0.5819991921
189	0.5810394989
190	0.5786062554
191	0.5764498148
192	0.573453193
193	0.572802971
194	0.5712722565
195	0.5704154833
196	0.568170574
197	0.5674874794
198	0.5671874132
199	0.5640147197
200	0.5615328412
201	0.5595344849
202	0.5578249065
203	0.5567717106
204	0.5545269024
205	0.5525089355
206	0.5516641992
207	0.5510385729
208	0.5493372444
209	0.5475585572
210	0.5460042709
211	0.5442034136
212	0.5430156412
213	0.5396818066
214	0.5374030884
215	0.5362789944
216	0.535434115
217	0.5344896029
218	0.5326643154
219	0.530607932
220	0.5280036923
221	0.5270714347
222	0.5240167
223	0.5226582397
224	0.5205885275
225	0.5180328577
226	0.5171833156
227	0.5162140552
228	0.5144506436
229	0.5127429386
230	0.5118766284
231	0.510917952
232	0.509618777
233	0.5084321127
234	0.5077711645
235	0.505900487
236	0.5052570501
237	0.5034672629
238	0.5025302321
239	0.5008320168
240	0.4982253557
241	0.4971110537
242	0.496002288
243	0.4941723428
244	0.4931879356
245	0.4912665241
246	0.4904836875
247	0.4899336766
248	0.4883368036
249	0.4873589948
250	0.4859189834
251	0.484761294
252	0.4834224584
253	0.4822615686
254	0.4816669581
255	0.4793516995
256	0.477259377
257	0.4764845056
258	0.4744330477
259	0.4736913188
260	0.4725993447
261	0.4719810431
262	0.4711700927
263	0.4690701615
264	0.4677575324
265	0.4668647809
266	0.466457793
267	0.4659390033
268	0.4651982517
269	0.4640534098
270	0.4628104882
271	0.46168503
272	0.4608256612
273	0.458886921
274	0.4572789547
275	0.4567268622
276	0.4555807517
277	0.4523241993
278	0.4506410956
279	0.4501811839
280	0.4484765595
281	0.4470069241
282	0.446483224
283	0.4452555783
284	0.4440729357
285	0.4423460966
286	0.4408460012
287	0.438643155
288	0.4375432521
289	0.4368599807
290	0.4361044052
291	0.4350069262
292	0.4330158543
293	0.4316122248
294	0.429897894
295	0.4291890648
296	0.4279025217
297	0.4265303702
298	0.4255717089
299	0.4250913342
300	0.4237188888
301	0.4232500021
302	0.4228530655
303	0.421891949
304	0.421018583
305	0.4205709749
306	0.4192243559
307	0.4183088703
308	0.4174219342
309	0.4167387714
310	0.4151870965
311	0.4148278921
312	0.4145559483
313	0.4136994591
314	0.413291818
315	0.4123451093
316	0.4109540891
317	0.4104829515
318	0.4097644927
319	0.4088961725
320	0.408029896
321	0.4068299247
322	0.406420557
323	0.4054197051
324	0.4044353097
325	0.4032429352
326	0.4019518136
327	0.4013929076
328	0.3999912862
329	0.3994043405
330	0.3988829657
331	0.3979235295
332	0.3974542417
333	0.3963010319
334	0.3952960163
335	0.3947498877
336	0.3940251747
337	0.3935973877
338	0.3930083717
339	0.3918835984
340	0.3909475846
341	0.390079355
342	0.3891797004
343	0.387740148
344	0.3870675021
345	0.3866837284
346	0.3864506119
347	0.3860519037
348	0.3855948496
349	0.3847676002
350	0.3835698504
351	0.3827740198
352	0.380896268
353	0.3800560346
354	0.3795254548
355	0.3789066538
356	0.3776148195
357	0.3768495568
358	0.3763095574
359	0.3759963679
360	0.3755487179
361	0.374834803
362	0.374456207
363	0.3736947616
364	0.3728673812
365	0.3724835313
366	0.3720014016
367	0.3713199954
368	0.3709024333
369	0.370445023
370	0.3698181931
371	0.3687380932
372	0.3676496739
373	0.3669726602
374	0.3659963586
375	0.364853183
376	0.3635916318
377	0.3624375834
378	0.361869439
379	0.361094715
380	0.3606726228
381	0.360316616
382	0.359969205
383	0.3594913337
384	0.3589163538
385	0.3584720822
386	0.3569783434
387	0.355614455
388	0.3549879953
389	0.3544443817
390	0.3538120109
391	0.3533666634
392	0.3524947465
393	0.3515270191
394	0.3506788055
395	0.3500242445
396	0.3493716687
397	0.3488249492
398	0.3483170673
399	0.3478012587
400	0.3465986304
401	0.3460825588
402	0.34545619
403	0.3443033467
404	0.3440017856
405	0.3435205432
406	0.3430664392
407	0.3423260835
408	0.3420170705
409	0.3415416558
410	0.3411291723
411	0.3405837351
412	0.3404792683
413	0.3397309295
414	0.3391781236
415	0.338969307
416	0.3375027425
417	0.3372027834
418	0.3365696938
419	0.3362301781
420	0.3346929736
421	0.3342948617
422	0.3340433108
423	0.3331586993
424	0.3326357363
425	0.3317191444
426	0.3312329673
427	0.3310114926
428	0.3304683402
429	0.3302012277
430	0.3296401013
431	0.3289003131
432	0.3282246631
433	0.327687913
434	0.3267593035
435	0.3258669289
436	0.3253631695
437	0.3246735946
438	0.3239110547
439	0.3228017908
440	0.3221023379
441	0.3215866604
442	0.3214024022
443	0.3208068986
444	0.320303133
445	0.3199812728
446	0.3193668124
447	0.3183978073
448	0.3176460021
449	0.3166615793
450	0.3162361599
451	0.315774838
452	0.3154296752
453	0.3150762855
454	0.3139025896
455	0.313622718
456	0.3131573301
457	0.3128799595
458	0.3125505839
459	0.3122406791
460	0.3118547188
461	0.3113811191
462	0.3113213573
463	0.3108370176
464	0.3107794555
465	0.310329566
466	0.3093173136
467	0.3089905477
468	0.3084286156
469	0.3080371606
470	0.3074831651
471	0.3071697256
472	0.3064470834
473	0.3054754403
474	0.3048884241
475	0.3040970437
476	0.3029801142
477	0.3024370242
478	0.30210189
479	0.3014842649
480	0.3011178587
481	0.3005385084
482	0.3000951605
483	0.2995146075
484	0.2991592534
485	0.2985689641
486	0.2977482593
487	0.2975137269
488	0.2968165616
489	0.2958832178
490	0.2950563562
491	0.2944423578
492	0.2939594034
493	0.2935693867
494	0.2933927327
495	0.2927804772
496	0.2921141873
497	0.2915000158
498	0.2905804706
499	0.2901683814
500	0.2897738822
501	0.2890906839
502	0.2887696574
503	0.2878100212
504	0.2871308636
505	0.2870700697
506	0.2867292266
507	0.2863531803
508	0.2860130596
509	0.2851901881
510	0.2849837267
511	0.2845547613
512	0.2841442704
513	0.2838851813
514	0.2832842857
515	0.283006865
516	0.2826170134
517	0.2823265939
518	0.2820151649
519	0.2811194346
520	0.2808406208
521	0.2806049571
522	0.2802011714
523	0.2795022178
524	0.2790369437
525	0.2789735525
526	0.2786011661
527	0.2777851654
528	0.2769551994
529	0.2765269459
530	0.2757784963
531	0.2755471671
532	0.2749413958
533	0.2745831195
534	0.2737594029
535	0.2730552869
536	0.2723970508
537	0.2716871217
538	0.271351675
539	0.2702920127
540	0.2698256505
541	0.2689321479
542	0.2686101108
543	0.2683872213
544	0.2678270071
545	0.2674945181
546	0.2666657565
547	0.2654913592
548	0.2648968157
549	0.2644190616
550	0.263891695
551	0.2632562552
552	0.2624434077
553	0.2621982386
554	0.2618473995
555	0.2615257262
556	0.2614693186
557	0.2613028056
558	0.2607058689
559	0.2604371647
560	0.2595942852
561	0.259373806
562	0.2589138713
563	0.2581015325
564	0.2573685421
565	0.2569342429
566	0.2563536656
567	0.2559765696
568	0.2556828377
569	0.2555134723
570	0.2549101457
571	0.2546696134
572	0.2541448492
573	0.2538989923
574	0.2535733013
575	0.2534146023
576	0.2529382571
577	0.2524104499
578	0.2522425295
579	0.2520500165
580	0.2518381528
581	0.2516655366
582	0.2511740771
583	0.2506022358
584	0.2503579126
585	0.2500124663
586	0.2496177572
587	0.2493035468
588	0.2487190266
589	0.2484950228
590	0.2482373922
591	0.2477161792
592	0.2474453799
593	0.2470522687
594	0.2465202297
595	0.2459980399
596	0.2457785118
597	0.2451927448
598	0.2449338995
599	0.2446454975
600	0.24427017
601	0.2438747464
602	0.2433585196
603	0.2430509638
604	0.2422521714
605	0.2420896775
606	0.2415750128
607	0.2412977312
608	0.2411110514
609	0.2406264896
610	0.2401515752
611	0.2392995666
612	0.2387944516
613	0.2386334805
614	0.2383184822
615	0.2380853577
616	0.2379360481
617	0.2377691723
618	0.2373809418
619	0.237218277
620	0.2368374555
621	0.2366494889
622	0.2364111157
623	0.2362233757
624	0.2355593315
625	0.2351401089
626	0.2347321634
627	0.2344718521
628	0.2339634236
629	0.2334652325
630	0.2331235812
631	0.2327290046
632	0.2324055628
633	0.2316827384
634	0.2316329838
635	0.231143839
636	0.2307372794
637	0.2304655163
638	0.2302114025
639	0.2299959998
640	0.2297033076
641	0.2293766458
642	0.2291705339
643	0.2287514873
644	0.2284757413
645	0.2281598896
646	0.2275097674
647	0.2272819026
648	0.2270809142
649	0.2269250063
650	0.2265711253
651	0.2262899707
652	0.2262524093
653	0.2260720044
654	0.2251659196
655	0.2246718724
656	0.2242658584
657	0.2239269171
658	0.2235471561
659	0.2232709417
660	0.2229184815
661	0.2227622125
662	0.222049901
663	0.2218418966
664	0.2216891127
665	0.2214621464
666	0.2210207276
667	0.2208507612
668	0.2203324379
669	0.2201012596
670	0.219939395
671	0.2193383426
672	0.2189354344
673	0.2184932667
674	0.2182911062
675	0.2179488051
676	0.2175307658
677	0.2173525294
678	0.2169791457
679	0.2167243667
680	0.2164071789
681	0.2160236209
682	0.2156760755
683	0.2152558429
684	0.2150452919
685	0.2146998457
686	0.2144097829
687	0.2138656206
688	0.2130453751
689	0.2129278074
690	0.2121558477
691	0.2118493732
692	0.2112973896
693	0.211013065
694	0.2106281351
695	0.2104268957
696	0.2102155803
697	0.2098570838
698	0.2097392166
699	0.2095179314
700	0.2091506199
701	0.2091038136
702	0.2088100899
703	0.208382675
704	0.2078318326
705	0.2077226567
706	0.2076057762
707	0.2073403354
708	0.2069513031
709	0.206788412
710	0.2066011635
711	0.2063153969
712	0.2061142887
713	0.2057172349
714	0.2054181764
715	0.2051897096
716	0.2048332961
717	0.2047232107
718	0.2043510033
719	0.2042258326
720	0.2041735837
721	0.2039806781
722	0.203478017
723	0.2031903221
724	0.2028320807
725	0.2025847544
726	0.2021344355
727	0.2017514769
728	0.2014118165
729	0.2011684447
730	0.201033877
731	0.2008602177
732	0.2004828632
733	0.2002614167
734	0.1998244194
735	0.1997203336
736	0.1994969045
737	0.1991977002
738	0.198925821
739	0.1987673782
740	0.1986379591
741	0.1984572466
742	0.1981668107
743	0.1979309027
744	0.1975669089
745	0.1970485136
746	0.1965878635
747	0.1963453141
748	0.1960919992
749	0.1956621347
750	0.1952768916
751	0.1948848173
752	0.1947650636
753	0.1943351412
754	0.1941366044
755	0.1939329255
756	0.1937518764
757	0.1936452721
758	0.1930163513
759	0.192840495
760	0.1925948935
761	0.1924480913
762	0.1920295313
763	0.1917157633
764	0.1911929347
765	0.1910476681
766	0.1909365897
767	0.1906224781
768	0.1902442373
769	0.1897821008
770	0.1897231759
771	0.1894398494
772	0.1891576678
773	0.1886889862
774	0.1885746422
775	0.1883796867
776	0.18816939
777	0.1880407365
778	0.1877644677
779	0.1873439833
780	0.1871629419
781	0.1871230853
782	0.1866488004
783	0.1861774391
784	0.1855432226
785	0.1854040849
786	0.1851420946
787	0.1849974282
788	0.1848447462
789	0.1846378208
790	0.1845080906
791	0.1840738039
792	0.1836533475
793	0.1831543807
794	0.1829374735
795	0.182778529
796	0.1826873266
797	0.1821822602
798	0.1819544774
799	0.1817434392
800	0.1817102747
801	0.1814655007
802	0.1814329824
803	0.1811862646
804	0.1807492039
805	0.1804459474
806	0.1801478974
807	0.1800441129
808	0.1799088658
809	0.1795875908
810	0.1791489533
811	0.1791087445
812	0.1789963504
813	0.178903101
814	0.1787019648
815	0.178343808
816	0.1779596362
817	0.177348766
818	0.1770117728
819	0.1768472699
820	0.1764690828
821	0.1762516368
822	0.1761151566
823	0.1758788247
824	0.1754378389
825	0.1751142137
826	0.1748670235
827	0.1745205678
828	0.1743840211
829	0.1742168924
830	0.1739626006
831	0.1737621175
832	0.1733608799
833	0.1730047157
834	0.172837925
835	0.1726016231
836	0.1722176293
837	0.171882516
838	0.171774605
839	0.1715981694
840	0.1711302174
841	0.1706535313
842	0.1703265222
843	0.1700719514
844	0.1699648233
845	0.1694629763
846	0.1693057654
847	0.1692192909
848	0.1689517176
849	0.1686255748
850	0.1683002108
851	0.1679651356
852	0.1678473216
853	0.167566915
854	0.1674036486
855	0.1671308501
856	0.1669625459
857	0.16659329
858	0.1664573401
859	0.1662182402
860	0.1658506533
861	0.1657467299
862	0.1655634517
863	0.1652575343
864	0.1650727842
865	0.164801483
866	0.1646073441
867	0.1645297329
868	0.1644219832
869	0.1640906594
870	0.1639305014
871	0.1637069421
872	0.1635916592
