iter	Passed	Remaining
395	398412	607679
396	399432	606694
397	400474	605743
398	401473	604725
399	402478	603717
400	403499	602734
401	404525	601756
402	405538	600760
403	406564	599783
404	407602	598823
405	408640	597863
406	409676	596899
407	410746	595985
408	411783	595022
409	412849	594100
410	413874	593119
411	414990	592267
412	416027	591303
413	417128	590428
414	418143	589431
415	419189	588477
416	420219	587500
417	421270	586554
418	422336	585626
419	423376	584663
420	424385	583656
421	425397	582653
422	426424	581670
423	427479	580726
424	428526	579771
425	429543	578774
426	430582	577807
427	431639	576864
428	432788	576042
429	433866	575124
430	434876	574117
431	435928	573165
432	436962	572188
433	438005	571223
434	439028	570232
435	440085	569284
436	441113	568299
437	442176	567358
438	443172	566332
439	444202	565348
440	445235	564368
441	446258	563375
442	447262	562359
443	448273	561352
444	449298	560360
445	450312	559356
446	451369	558405
447	452403	557425
448	453407	556408
449	454430	555414
450	455433	554396
451	456466	553415
452	457503	552438
453	458530	551448
454	459560	550463
455	460576	549459
456	461593	548457
457	462625	547473
458	463643	546473
459	464678	545492
460	465709	544505
461	466760	543543
462	467806	542575
463	468867	541622
464	469894	540631
465	470965	539690
466	471986	538691
467	473050	537740
468	474068	536738
469	475119	535772
470	476143	534777
471	477217	533836
472	478253	532853
473	479318	531901
474	480386	530953
475	481569	530130
476	482790	529349
477	483969	528518
478	485139	527678
479	486328	526856
480	487516	526030
481	488681	525180
482	489864	524347
483	491044	523510
484	492216	522662
485	493417	521844
486	494590	520995
487	495771	520153
488	496971	519329
489	498150	518482
490	499345	517651
491	500524	516802
492	501690	515936
493	502854	515069
494	504019	514201
495	505200	513349
496	506369	512482
497	507531	511608
498	508713	510752
499	509902	509902
500	511149	509108
501	512328	508246
502	513513	507387
503	514691	506522
504	515878	505662
505	517054	504792
506	518228	503918
507	519387	503028
508	520555	502146
509	521775	501314
510	522962	500447
511	524154	499584
512	525319	498695
513	526487	497806
514	527680	496941
515	528844	496047
516	530037	495180
517	531201	494283
518	532389	493408
519	533560	492517
520	534781	491670
521	535969	490792
522	537192	489944
523	538400	489081
524	539571	488183
525	540740	487283
526	541937	486407
527	543112	485509
528	544300	484623
529	545513	483757
530	546699	482866
531	547875	481965
532	549026	481042
533	550196	480133
534	551370	479228
535	552555	478332
536	553740	477433
537	554907	476519
538	556073	475603
539	557253	474697
540	558508	473854
541	559796	473038
542	561067	472205
543	562266	471311
544	563494	470440
545	564707	469555
546	565897	468650
547	567292	467913
548	568538	467050
549	569882	466267
550	571120	465395
551	572310	464483
552	573518	463585
553	574698	462663
554	575887	461747
555	577054	460813
556	578239	459892
557	579418	458965
558	580582	458026
559	581758	457095
560	582931	456162
561	584096	455221
562	585277	454291
563	586441	453348
564	587607	452405
565	588781	451468
566	589971	450542
567	591163	449617
568	592342	448681
569	593511	447737
570	594664	446779
571	596107	446038
572	597736	445433
573	599484	444913
574	601095	444288
575	602468	443483
576	603802	442649
577	605534	442102
578	607128	441452
579	608936	440953
580	610384	440191
581	611736	439356
582	613095	438526
583	614323	437600
584	615694	436774
585	617003	435903
586	618451	435128
587	620096	434489
588	621700	433817
589	623122	433017
590	624458	432154
591	626022	431448
592	627353	430578
593	628689	429710
594	629975	428806
595	631281	427915
596	632520	426977
597	633725	426016
598	634953	425068
599	636169	424112
600	637354	423135
601	638535	422154
602	639723	421177
603	640915	420203
604	642121	419236
605	643348	418282
606	644561	417318
607	645755	416342
608	646939	415358
609	648154	414393
610	649370	413429
611	650566	412450
612	651758	411468
613	652989	410511
614	654250	409571
615	655473	408606
616	656638	407605
617	657818	406612
618	658986	405612
619	660127	404594
620	661335	403617
621	662583	402663
622	663797	401687
623	665031	400724
624	666232	399739
625	667436	398756
626	668668	397788
627	669881	396808
628	671087	395823
629	672299	394842
630	673528	393869
631	674770	392904
632	675971	391913
633	677177	390925
634	678374	389931
635	679572	388937
636	680774	387945
637	681963	386945
638	683182	385960
639	684386	384967
640	685599	383978
641	686809	382986
642	688044	382008
643	689367	381079
644	690542	380066
645	691825	379112
646	693019	378107
647	694230	377112
648	695443	376118
649	696633	375110
650	697813	374096
651	698996	373084
652	700191	372077
653	701410	371082
654	702595	370069
655	703803	369067
656	705015	368067
657	706224	367065
658	707451	366071
659	708654	365064
660	709862	364059
661	711055	363046
662	712262	362040
663	713483	361039
664	714671	360022
665	715881	359015
666	717074	357999
667	718265	356982
668	719455	355963
669	720648	354946
670	721874	353944
671	723087	352935
672	724302	351927
673	725505	350912
674	726701	349893
675	727912	348881
676	729112	347863
677	730295	346836
678	731480	345810
679	732677	344789
680	733881	343771
681	735104	342761
682	736323	341749
683	737532	340731
684	738741	339713
685	739949	338694
686	741151	337671
687	742352	336648
688	743554	335624
689	744755	334600
690	745948	333571
691	747148	332545
692	748353	331521
693	749550	330493
694	750810	329492
695	752039	328477
696	753232	327445
697	754430	326415
698	755630	325385
699	756845	324362
700	758053	323335
701	759253	322304
702	760447	321270
703	761628	320230
704	762816	319192
705	764029	318165
706	765253	317141
707	766468	316114
708	767714	315098
709	768952	314079
710	770164	313048
711	771397	312025
712	772706	311033
713	773979	310025
714	775317	309042
715	776551	308017
716	777791	306994
717	779017	305964
718	780220	304926
719	781449	303896
720	782673	302865
721	783855	301816
722	785064	300778
723	786258	299734
724	787469	298695
725	788661	297649
726	789858	296604
727	791055	295559
728	792264	294518
729	793452	293468
730	794653	292423
731	795851	291377
732	797049	290330
733	798234	289278
734	799433	288231
735	800634	287184
736	801838	286137
737	803037	285089
738	804237	284040
739	805421	282986
740	806614	281934
741	807791	280876
742	808992	279826
743	810196	278777
744	811440	277741
745	812667	276699
746	813886	275653
747	815097	274605
748	816288	273549
749	817488	272496
750	818694	271444
751	819913	270397
752	821124	269346
753	822330	268293
754	823552	267245
755	824754	266190
756	825956	265135
757	827175	264085
758	828387	263032
759	829611	261982
760	830814	260925
761	832007	259865
762	833213	258809
763	834425	257754
764	835662	256706
765	836866	255648
766	838059	254586
767	839273	253530
768	840474	252470
769	841696	251415
770	842935	250366
771	844135	249304
772	845355	248247
773	846562	247187
774	847777	246129
775	848982	245066
776	850177	244002
777	851384	242940
778	852596	241879
779	853808	240817
780	855026	239757
781	856226	238692
782	857417	237623
783	858625	236560
784	859836	235496
785	861029	234427
786	862217	233357
787	863412	232288
788	864626	231224
789	865831	230157
790	867043	229092
791	868250	228025
792	869449	226955
793	870701	225899
794	871904	224830
795	873118	223764
796	874319	222693
797	875509	221620
798	876709	220548
799	877906	219476
800	879105	218404
801	880305	217332
802	881508	216260
803	882708	215187
804	883933	214120
805	885152	213051
806	886348	211976
807	887555	210904
808	888763	209831
809	889944	208752
810	891157	207680
811	892370	206608
812	893571	205532
813	894911	204488
814	896121	203414
815	897367	202347
816	898564	201269
817	899767	200192
818	901035	199129
819	902250	198055
820	903452	196976
821	904676	195903
822	905885	194825
823	907086	193746
824	908293	192668
825	909540	191598
826	910722	190513
827	911925	189433
828	913127	188353
829	914330	187272
830	915518	186188
831	916730	185109
832	917938	184028
833	919129	182944
834	920319	181859
835	921523	180777
836	922721	179693
837	923931	178612
838	925138	177529
839	926354	176448
840	927554	175364
841	928763	174281
842	929946	173192
843	931174	172112
844	932392	171030
845	933600	169946
846	934802	168860
847	936011	167775
848	937233	166692
849	938457	165610
850	939678	164526
851	940875	163438
852	942064	162348
853	943272	161262
854	944461	160171
855	945650	159081
856	946846	157991
857	948060	156905
858	949272	155817
859	950472	154728
860	951675	153638
861	952880	152549
862	954209	151479
863	955430	150391
864	956629	149300
865	957834	148209
866	959047	147120
867	960256	146029
868	961486	144942
869	962690	143850
870	963894	142758
871	965096	141665
872	966299	140572
873	967511	139481
874	968702	138386
875	969914	137293
876	971103	136198
877	972320	135106
878	973516	134010
879	974710	132915
880	975909	131819
881	977115	130725
882	978311	129629
883	979547	128537
884	980765	127444
885	981963	126347
886	983170	125251
887	984461	124166
888	985743	123079
889	987038	121993
890	988257	120897
891	989480	119802
892	990729	118710
893	991948	117613
894	993156	116515
895	994375	115418
896	995585	114320
897	996797	113222
898	998015	112124
899	999232	111025
900	1000432	109925
901	1001642	108825
902	1002845	107725
903	1004046	106624
904	1005260	105524
905	1006451	104422
906	1007642	103319
907	1008829	102216
908	1010041	101115
909	1011250	100013
910	1012446	98910
911	1013653	97808
912	1014951	96714
913	1016202	95616
914	1017437	94516
915	1018651	93413
916	1019872	92311
917	1021130	91212
918	1022341	90108
919	1023566	89005
920	1024768	87900
921	1025982	86796
922	1027194	85692
923	1028412	84588
924	1029615	83482
925	1030825	82376
926	1032036	81271
927	1033249	80165
928	1034461	79060
929	1035659	77952
930	1036854	76845
931	1038066	75738
932	1039288	74632
933	1040494	73525
934	1041708	72418
935	1042919	71310
936	1044130	70203
937	1045359	69096
938	1046591	67989
939	1047809	66881
940	1049006	65771
941	1050211	64662
942	1051513	63559
943	1052717	62449
944	1053927	61339
945	1055143	60230
946	1056344	59119
947	1057548	58008
948	1058749	56898
949	1059963	55787
950	1061201	54678
951	1062424	53567
952	1063627	52455
953	1064832	51344
954	1066025	50231
955	1067278	49121
956	1068474	48008
957	1069690	46896
958	1070880	45783
959	1072098	44670
960	1073295	43557
961	1074511	42444
962	1075741	41331
963	1076954	40218
964	1078163	39104
965	1079372	37990
966	1080631	36877
967	1081849	35763
968	1083050	34648
969	1084268	33534
970	1085469	32418
971	1086674	31303
972	1087886	30188
973	1089100	29072
974	1090296	27956
975	1091518	26840
976	1092765	25725
977	1093959	24608
978	1095166	23491
979	1096375	22375
980	1097586	21258
981	1098778	20140
982	1099972	19022
983	1101179	17905
984	1102368	16787
985	1103563	15669
986	1104772	14551
987	1106007	13433
988	1107204	12314
989	1108405	11196
990	1109597	10077
991	1110883	8958
992	1112107	7839
993	1113319	6720
994	1114539	5600
995	1115741	4480
996	1116947	3360
997	1118153	2240
998	1119340	1120
999	1120638	0
