iter	Passed	Remaining
402	16199	224989
403	16234	224865
404	16266	224717
405	16299	224574
406	16331	224429
407	16363	224280
408	16395	224131
409	16433	224063
410	16466	223918
411	16498	223767
412	16530	223624
413	16564	223503
414	16597	223360
415	16628	223212
416	16668	223166
417	16701	223030
418	16733	222892
419	16767	222769
420	16799	222622
421	16831	222480
422	16865	222355
423	16906	222339
424	16940	222215
425	16973	222085
426	17005	221952
427	17039	221831
428	17071	221687
429	17103	221556
430	17141	221490
431	17175	221378
432	17207	221239
433	17240	221105
434	17272	220968
435	17305	220840
436	17337	220700
437	17376	220652
438	17411	220555
439	17442	220413
440	17475	220282
441	17507	220145
442	17539	220015
443	17573	219910
444	17614	219878
445	17646	219745
446	17678	219611
447	17712	219503
448	17745	219387
449	17777	219259
450	17809	219128
451	17852	219131
452	17884	219000
453	17916	218871
454	17949	218744
455	17981	218611
456	18012	218473
457	18047	218376
458	18087	218350
459	18122	218259
460	18155	218141
461	18187	218016
462	18220	217894
463	18253	217781
464	18285	217656
465	18326	217640
466	18359	217522
467	18392	217413
468	18425	217298
469	18458	217182
470	18490	217053
471	18523	216950
472	18563	216913
473	18598	216821
474	18629	216694
475	18661	216572
476	18694	216454
477	18725	216327
478	18758	216208
479	18797	216171
480	18832	216085
481	18864	215968
482	18897	215848
483	18929	215730
484	18961	215608
485	18992	215486
486	19033	215467
487	19068	215382
488	19101	215267
489	19132	215145
490	19165	215034
491	19197	214912
492	19228	214795
493	19269	214778
494	19301	214658
495	19333	214540
496	19365	214422
497	19397	214309
498	19430	214207
499	19463	214099
500	19502	214058
501	19534	213943
502	19568	213850
503	19600	213734
504	19632	213628
505	19665	213522
506	19698	213415
507	19736	213372
508	19770	213275
509	19801	213154
510	19832	213039
511	19864	212924
512	19896	212815
513	19928	212704
514	19966	212651
515	20001	212571
516	20033	212462
517	20066	212365
518	20098	212252
519	20129	212136
520	20161	212028
521	20199	211980
522	20234	211897
523	20265	211784
524	20297	211671
525	20330	211575
526	20362	211469
527	20393	211352
528	20431	211301
529	20464	211211
530	20496	211101
531	20530	211011
532	20562	210909
533	20594	210803
534	20626	210698
535	20669	210704
536	20702	210610
537	20734	210508
538	20766	210397
539	20797	210287
540	20830	210188
541	20862	210086
542	20901	210058
543	20934	209960
544	20965	209852
545	20999	209765
546	21031	209657
547	21062	209549
548	21094	209444
549	21134	209419
550	21166	209318
551	21198	209215
552	21231	209124
553	21264	209035
554	21296	208937
555	21328	208830
556	21368	208809
557	21400	208710
558	21431	208606
559	21464	208515
560	21497	208419
561	21529	208321
562	21562	208232
563	21625	208431
564	21673	208486
565	21711	208441
566	21745	208364
567	21776	208258
568	21808	208155
569	21845	208109
570	21881	208046
571	21921	208022
572	21953	207925
573	21985	207830
574	22018	207742
575	22052	207661
576	22090	207616
577	22123	207533
578	22157	207455
579	22191	207377
580	22225	207296
581	22260	207231
582	22299	207196
583	22330	207096
584	22362	206997
585	22395	206908
586	22427	206818
587	22461	206739
588	22503	206738
589	22536	206646
590	22568	206551
591	22600	206458
592	22632	206367
593	22669	206319
594	22707	206279
595	22739	206179
596	22772	206094
597	22804	206001
598	22837	205916
599	22868	205818
