iter	Accuracy	Logloss
176	0.9186603894	0.2185239794
177	0.9186561133	0.2184838396
178	0.9187117024	0.2184304698
179	0.9187288067	0.2183864984
180	0.9187074263	0.2183417783
181	0.9187544632	0.2182856606
182	0.9187630153	0.2182352532
183	0.9187929479	0.2181932575
184	0.9187672914	0.2181639727
185	0.9187672914	0.2181180835
186	0.9187672914	0.2180874193
187	0.9187715675	0.2180407929
188	0.9188228805	0.2179970647
189	0.9188399848	0.2179555335
190	0.9188912977	0.2178992303
191	0.9188613652	0.2178522422
192	0.9189126782	0.2178080261
193	0.9189468868	0.2177809286
194	0.9189682672	0.2177410435
195	0.9189639911	0.2176876217
196	0.9189810954	0.2176362856
197	0.9189939237	0.217582987
198	0.9190366845	0.2175490499
199	0.9190238563	0.2175174028
