iter	MAE	RMSE
759	222.0728612	382.4507267
760	220.4329459	380.7001543
761	220.0743948	380.1159606
762	219.79828	379.7552217
763	218.4536602	378.0896688
764	217.0379512	376.6232473
765	215.5906578	374.9164017
766	215.3730554	374.4970878
767	214.2161864	373.0737026
768	213.6997619	372.3939132
769	212.7409956	371.0428637
770	211.2891083	369.2208722
771	210.9737499	368.7214306
772	209.3941106	367.2917657
773	208.9445226	366.6827771
774	207.7326314	365.6367401
775	206.2423743	363.9977751
776	204.705407	362.3629664
777	203.5667905	361.2634824
778	202.0962033	359.8458943
779	200.7495617	358.5152641
780	199.0721153	356.6746935
781	198.284365	355.915589
782	197.432983	355.1331399
783	196.4734213	354.2020804
784	195.1390166	352.9275708
785	194.9749199	352.7793347
786	193.926372	351.6098439
787	193.6366039	351.3275294
788	192.3606477	349.8612641
789	192.0588302	349.3979584
790	191.2426191	348.4657685
791	190.2091864	347.3785279
792	189.3438628	346.2838463
793	188.9215242	345.8879429
794	188.0618281	345.0681273
795	187.2477999	344.3510538
796	186.0873184	342.9942538
797	185.194447	341.9972356
798	184.5492498	341.2109031
799	184.3926115	341.0556463
800	183.3212123	339.8667692
801	182.4075373	338.8467771
802	181.723071	338.0810144
803	180.6334212	337.0967365
804	179.7726926	336.0313393
805	179.543886	335.8434738
