iter	Passed	Remaining
455	835	13823
456	837	13822
457	840	13835
458	841	13826
459	843	13819
460	844	13813
461	846	13807
462	848	13807
463	851	13822
464	853	13826
465	855	13837
466	858	13852
467	860	13846
468	861	13840
469	864	13856
470	867	13874
471	869	13874
472	872	13877
473	873	13871
474	875	13865
475	877	13867
476	879	13870
477	882	13893
478	885	13902
479	887	13899
480	888	13894
481	890	13889
482	893	13898
483	895	13908
484	899	13931
485	901	13934
486	904	13950
487	905	13946
488	909	13972
489	913	13994
490	915	13996
491	918	14021
492	920	14015
493	921	14007
494	925	14027
495	928	14042
496	930	14045
497	933	14058
498	934	14051
499	936	14045
500	939	14064
501	943	14092
502	945	14092
503	947	14093
504	949	14087
505	950	14082
506	952	14075
507	955	14086
508	957	14096
509	961	14127
510	965	14154
511	967	14148
512	972	14194
513	974	14196
514	976	14195
515	978	14193
516	980	14194
517	982	14190
518	988	14252
519	991	14258
520	993	14259
521	995	14254
522	996	14248
523	1002	14303
524	1004	14307
525	1009	14337
526	1011	14349
527	1015	14365
528	1019	14392
529	1023	14418
530	1024	14415
531	1026	14408
532	1028	14402
533	1030	14409
534	1033	14424
535	1036	14428
536	1038	14429
537	1040	14427
538	1041	14420
539	1043	14411
540	1046	14431
541	1050	14454
542	1053	14461
543	1054	14457
544	1056	14451
545	1058	14445
546	1060	14450
547	1063	14467
548	1065	14465
549	1068	14469
550	1069	14462
551	1071	14457
552	1073	14450
553	1075	14461
554	1079	14480
555	1081	14480
556	1083	14480
557	1085	14475
558	1087	14469
559	1088	14462
560	1094	14511
561	1096	14510
562	1098	14511
563	1100	14510
564	1102	14502
565	1103	14497
566	1110	14551
567	1112	14551
568	1114	14553
569	1116	14547
570	1117	14542
571	1119	14541
572	1124	14569
573	1126	14569
574	1128	14575
575	1130	14569
576	1132	14569
577	1134	14564
578	1136	14563
579	1140	14586
580	1142	14594
581	1145	14599
582	1147	14604
583	1149	14601
584	1155	14649
585	1157	14646
586	1159	14642
587	1161	14638
588	1163	14634
589	1165	14634
590	1166	14627
591	1169	14631
592	1171	14627
593	1172	14622
594	1174	14615
595	1175	14609
596	1177	14601
597	1179	14594
598	1182	14613
599	1185	14623
600	1187	14622
601	1189	14621
602	1191	14616
603	1192	14606
604	1197	14631
605	1199	14639
606	1202	14639
607	1203	14636
608	1205	14629
609	1207	14623
610	1208	14614
611	1215	14676
612	1217	14674
613	1219	14669
614	1221	14673
615	1223	14666
616	1226	14673
617	1229	14683
618	1230	14676
619	1233	14684
620	1235	14679
621	1237	14680
622	1239	14673
623	1243	14700
624	1246	14702
625	1248	14705
626	1250	14704
627	1252	14698
628	1253	14690
629	1255	14683
630	1259	14708
631	1261	14707
632	1263	14710
633	1265	14705
634	1267	14697
635	1268	14691
636	1269	14678
637	1275	14720
638	1277	14715
639	1279	14714
640	1281	14712
641	1282	14703
642	1284	14698
643	1286	14696
644	1290	14710
645	1291	14706
646	1294	14714
647	1296	14710
648	1298	14704
649	1299	14696
650	1302	14705
651	1305	14711
652	1307	14710
653	1310	14717
654	1311	14710
655	1313	14704
656	1315	14700
657	1319	14720
658	1321	14722
659	1324	14725
660	1326	14723
661	1328	14722
662	1330	14723
663	1332	14722
664	1335	14730
665	1337	14731
666	1339	14727
667	1341	14721
668	1342	14714
669	1344	14710
670	1346	14707
671	1348	14710
672	1354	14741
673	1356	14749
674	1358	14744
675	1360	14739
676	1365	14767
677	1367	14765
678	1370	14773
679	1372	14770
680	1373	14764
681	1375	14763
682	1380	14792
683	1382	14791
684	1385	14792
685	1387	14790
686	1388	14783
687	1390	14777
688	1393	14782
689	1395	14785
690	1397	14780
691	1400	14793
692	1402	14789
693	1404	14783
694	1405	14777
695	1408	14780
696	1411	14787
697	1413	14784
698	1415	14783
699	1417	14778
700	1418	14772
701	1420	14768
702	1426	14803
703	1428	14806
704	1430	14803
705	1432	14797
706	1433	14791
707	1435	14783
708	1436	14775
709	1441	14799
710	1443	14795
711	1445	14797
712	1447	14795
713	1449	14791
714	1451	14787
715	1455	14809
716	1458	14811
717	1460	14809
718	1462	14811
719	1464	14806
720	1466	14800
721	1467	14795
722	1471	14807
723	1473	14808
724	1476	14820
725	1478	14813
726	1480	14807
727	1481	14801
728	1484	14803
729	1487	14811
730	1489	14807
731	1491	14810
732	1493	14806
733	1495	14802
734	1496	14796
735	1499	14798
736	1502	14807
737	1504	14803
738	1506	14801
739	1508	14797
740	1510	14792
741	1514	14809
742	1518	14829
743	1520	14826
744	1521	14821
745	1523	14817
746	1525	14811
747	1527	14807
748	1528	14802
749	1531	14800
750	1532	14796
751	1534	14792
752	1537	14800
753	1539	14796
754	1542	14800
755	1546	14817
756	1548	14816
757	1550	14809
758	1552	14809
759	1553	14802
760	1555	14796
761	1557	14789
762	1559	14793
763	1561	14792
764	1564	14794
765	1566	14790
766	1567	14785
767	1569	14779
768	1571	14773
769	1573	14770
770	1574	14763
771	1576	14757
772	1577	14752
773	1579	14746
774	1581	14744
775	1583	14739
776	1584	14732
777	1586	14726
778	1588	14724
779	1589	14716
780	1591	14712
781	1593	14706
782	1594	14699
783	1596	14692
784	1597	14686
785	1599	14679
786	1600	14672
787	1602	14668
788	1604	14662
789	1605	14656
790	1607	14651
791	1609	14644
792	1610	14639
793	1612	14634
794	1614	14628
795	1615	14621
796	1617	14616
797	1618	14609
798	1620	14603
799	1621	14597
800	1623	14592
801	1625	14585
802	1627	14583
803	1629	14580
804	1630	14573
805	1632	14569
806	1634	14564
807	1635	14558
808	1637	14552
809	1638	14545
810	1640	14540
811	1641	14534
812	1643	14528
813	1645	14522
814	1646	14516
815	1648	14511
816	1649	14506
817	1651	14502
818	1653	14495
819	1655	14493
820	1657	14490
821	1658	14483
822	1660	14477
823	1661	14471
824	1663	14468
825	1665	14463
826	1666	14457
827	1668	14451
828	1669	14444
829	1671	14438
830	1673	14433
831	1674	14426
832	1676	14420
833	1677	14415
834	1679	14408
835	1680	14402
836	1682	14396
837	1683	14389
838	1685	14382
839	1686	14376
840	1688	14371
841	1689	14364
842	1691	14359
843	1694	14368
844	1697	14370
845	1699	14372
846	1701	14370
847	1703	14366
848	1705	14362
849	1707	14362
850	1709	14360
851	1711	14357
852	1713	14354
853	1716	14360
854	1718	14358
855	1720	14355
856	1722	14354
857	1727	14379
858	1729	14379
859	1731	14372
860	1732	14369
861	1734	14364
862	1736	14361
863	1738	14356
864	1739	14351
865	1741	14345
866	1743	14341
867	1744	14336
868	1746	14331
869	1748	14326
870	1749	14320
871	1751	14315
872	1753	14313
873	1755	14309
874	1756	14303
875	1758	14298
876	1759	14292
877	1761	14287
878	1762	14281
879	1764	14275
880	1765	14268
881	1767	14264
882	1769	14259
883	1770	14253
884	1772	14248
885	1773	14239
886	1775	14240
887	1777	14235
888	1778	14229
889	1780	14224
890	1782	14219
891	1783	14213
892	1786	14214
893	1788	14212
894	1789	14208
895	1791	14203
896	1793	14199
897	1794	14194
898	1796	14188
899	1798	14190
900	1800	14186
901	1802	14180
902	1803	14174
903	1805	14169
904	1806	14164
905	1808	14158
906	1809	14151
907	1811	14146
908	1812	14141
909	1814	14140
910	1816	14134
911	1817	14128
912	1819	14123
913	1821	14118
914	1822	14112
915	1824	14108
916	1825	14103
917	1827	14100
918	1829	14094
919	1830	14087
920	1832	14081
921	1833	14076
922	1835	14071
923	1836	14066
924	1838	14060
925	1840	14056
926	1841	14052
927	1843	14046
928	1844	14042
929	1846	14037
930	1848	14033
931	1849	14029
932	1851	14023
933	1853	14019
934	1854	14014
935	1856	14012
936	1859	14014
937	1860	14009
938	1862	14004
939	1864	14000
940	1865	13995
941	1867	13991
942	1869	13987
943	1870	13982
944	1872	13976
945	1873	13973
946	1876	13973
947	1878	13972
948	1880	13970
949	1882	13969
950	1884	13966
951	1886	13962
952	1887	13960
953	1889	13957
954	1891	13953
955	1893	13953
956	1895	13950
957	1897	13946
958	1899	13948
959	1901	13944
960	1904	13948
